cntry,polintr,trstplt,vote,clsprty,gndr,yrbrn,eduyrs
IT,3,1,1,2,2,1943,5
IT,3,0,1,2,2,1963,18
IT,3,0,1,1,1,1963,13
IT,3,1,1,2,1,1984,8
IT,4,3,2,2,1,1984,8
IT,3,2,2,2,2,1964,16
IT,3,0,1,1,1,1960,20
IT,3,4,1,2,1,1983,18
IT,3,2,1,2,1,1961,18
IT,3,1,2,2,2,1993,10
IT,4,0,1,2,2,1978,8
IT,2,7,3,1,2,2001,13
IT,1,2,1,1,1,1957,22
IT,2,2,2,2,1,1972,18
IT,4,2,1,2,1,1943,8
IT,3,0,1,2,2,1950,17
IT,3,5,1,2,1,1960,13
IT,2,3,1,1,1,1961,11
IT,3,5,7,2,2,1986,13
IT,3,2,1,1,2,1944,5
IT,2,7,1,2,1,1975,13
IT,2,3,1,1,1,1948,8
IT,2,6,1,2,1,1975,24
IT,4,2,1,2,1,1965,17
IT,2,0,3,2,1,1984,77
IT,1,5,1,1,1,1969,20
IT,2,8,1,2,2,1970,18
IT,4,4,1,2,2,1990,14
IT,3,5,3,2,2,1974,6
IT,3,4,1,2,2,1951,13
IT,4,0,1,2,2,1936,13
IT,3,4,1,2,1,1967,13
IT,2,4,1,1,2,1979,13
IT,3,3,1,2,2,1979,13
IT,3,5,1,2,2,1973,8
IT,4,6,1,2,2,1987,9
IT,2,4,1,1,1,1956,14
IT,2,6,2,2,1,1992,14
IT,4,5,1,2,2,1935,5
IT,2,4,1,2,1,1976,19
IT,4,3,1,2,1,1962,8
IT,4,0,2,2,2,1961,77
IT,1,2,1,1,1,1945,17
IT,4,4,2,2,1,1985,17
IT,3,3,7,2,1,1958,13
IT,3,2,1,1,2,1977,18
IT,2,4,1,2,2,1980,8
IT,3,2,2,2,2,2001,15
IT,3,6,1,2,1,1966,88
IT,4,0,2,2,1,2001,16
IT,2,6,1,2,1,1950,18
IT,3,4,2,2,1,1977,12
IT,1,1,1,2,2,1983,17
IT,3,2,2,1,2,1942,2
IT,4,5,1,2,1,1984,14
IT,1,3,1,1,1,1988,18
IT,3,1,1,2,1,1961,18
IT,2,88,3,2,1,1952,20
IT,1,2,1,2,1,1986,19
IT,4,0,3,2,1,2005,13
IT,4,8,2,2,2,1982,14
IT,4,7,2,2,1,1984,10
IT,4,2,2,2,1,1944,5
IT,2,3,1,1,1,1945,5
IT,4,3,2,2,2,1994,12
IT,3,3,1,2,2,1975,13
IT,3,3,1,2,1,1954,15
IT,2,4,1,1,2,1975,8
IT,4,2,1,1,2,1953,8
IT,3,5,1,1,2,1979,18
IT,4,6,2,2,2,1942,77
IT,1,7,1,1,2,1941,5
IT,2,3,1,1,2,1967,15
IT,2,6,1,2,1,1966,18
IT,3,4,1,1,1,1974,13
IT,3,1,1,1,1,1961,11
IT,3,4,1,2,2,1986,19
IT,4,0,2,2,2,1947,5
IT,3,5,2,2,2,1969,8
IT,4,2,1,2,2,1994,13
IT,4,4,1,2,2,1959,8
IT,4,2,1,2,2,1975,88
IT,4,0,1,2,2,1979,13
IT,2,6,1,1,1,1985,18
IT,2,2,1,2,1,1985,17
IT,4,0,1,2,2,1944,8
IT,2,5,1,1,1,1946,8
IT,3,1,7,2,1,1963,13
IT,4,1,2,2,2,1965,5
IT,3,0,1,2,2,1959,8
IT,4,1,2,2,2,1956,8
IT,4,2,1,2,1,1946,19
IT,3,6,1,2,2,1969,14
IT,4,0,2,2,2,1932,5
IT,4,8,3,2,2,1978,11
IT,4,88,3,2,1,1997,12
IT,2,6,1,1,1,1980,13
IT,3,0,8,2,2,1987,14
IT,3,2,1,1,1,1940,5
IT,4,1,3,2,1,2002,14
IT,1,0,1,2,2,1954,8
IT,1,7,1,1,1,1967,10
IT,2,4,1,1,2,1965,13
IT,3,0,1,2,2,1964,8
IT,3,2,1,2,2,1988,10
IT,2,2,1,1,1,1958,14
IT,3,4,2,2,1,1991,16
IT,3,3,1,2,2,1957,13
IT,3,0,1,1,2,1942,8
IT,3,3,1,1,2,1971,13
IT,3,2,1,2,1,1979,13
IT,4,2,1,2,1,1976,13
IT,4,6,1,2,2,1958,13
IT,2,6,1,2,1,1961,8
IT,2,1,1,1,1,1978,77
IT,4,0,2,2,2,1969,13
IT,4,2,2,2,2,1941,6
IT,3,5,2,2,1,2004,12
IT,3,5,1,2,2,1964,18
IT,2,4,1,2,1,1976,14
IT,1,3,1,2,1,1970,12
IT,3,3,1,2,2,1966,8
IT,2,2,1,1,1,1981,12
IT,3,4,1,2,2,1950,8
IT,3,5,1,2,1,1978,24
IT,1,1,1,1,1,1988,14
IT,3,0,2,2,2,1961,15
IT,4,7,2,2,1,1986,14
IT,2,6,1,1,2,1995,16
IT,3,5,1,2,2,1940,6
IT,3,6,2,2,1,1959,12
IT,2,6,1,1,1,1966,13
IT,4,1,1,1,1,1947,28
IT,3,3,1,1,2,1998,19
IT,1,2,1,1,1,1982,13
IT,3,2,1,2,1,1962,13
IT,4,0,1,2,2,1975,13
IT,3,6,1,2,2,1987,13
IT,4,77,1,1,2,1958,11
IT,3,0,1,2,1,1972,9
IT,3,1,2,2,2,1981,11
IT,4,0,2,2,1,1955,8
IT,2,4,1,1,1,1983,17
IT,4,0,1,2,1,1961,8
IT,3,5,2,2,2,1974,13
IT,4,2,1,2,2,1947,5
IT,3,0,1,1,1,1953,13
IT,4,2,1,2,2,1957,8
IT,3,2,2,2,2,1972,15
IT,4,3,8,2,1,1996,13
IT,1,3,1,1,1,1979,13
IT,4,6,2,2,1,1970,14
IT,4,3,2,2,1,1988,14
IT,2,2,1,2,2,1975,26
IT,4,4,2,2,1,1995,13
IT,3,5,1,2,2,1990,16
IT,4,0,1,2,2,1954,8
IT,3,3,7,2,1,1962,10
IT,4,3,2,2,1,1991,8
IT,3,6,1,2,1,1992,13
IT,2,6,2,2,1,2006,10
IT,2,6,1,2,1,1944,77
IT,4,4,1,2,2,1948,8
IT,3,4,3,2,2,2000,17
IT,2,5,1,2,2,1969,8
IT,4,0,2,2,1,1987,16
IT,3,0,1,2,1,1943,8
IT,3,5,1,2,2,1969,13
IT,2,4,1,2,1,1950,8
IT,2,4,1,1,2,1986,19
IT,2,3,1,1,1,1966,13
IT,3,1,7,7,1,1959,14
IT,3,6,7,2,1,2005,10
IT,1,5,1,1,2,1949,18
IT,4,0,1,2,2,1948,5
IT,2,3,1,1,1,1962,8
IT,2,5,1,7,2,1977,19
IT,4,0,1,2,2,1943,5
IT,4,7,3,2,1,1999,15
IT,3,0,2,2,2,1975,19
IT,4,6,1,2,1,1976,10
IT,3,6,3,2,1,2002,14
IT,2,3,1,1,1,1953,11
IT,3,2,1,2,2,1962,14
IT,3,1,1,2,2,1969,13
IT,1,4,1,1,1,1952,16
IT,3,3,1,2,2,1964,20
IT,3,5,1,2,2,1986,13
IT,4,4,2,2,2,1977,8
IT,1,7,1,1,1,1989,13
IT,3,6,1,1,2,1975,15
IT,3,4,1,2,2,1953,15
IT,4,0,2,2,2,1954,11
IT,1,2,1,7,1,1964,24
IT,3,0,1,8,2,1977,16
IT,4,1,1,2,2,1975,18
IT,4,0,1,2,2,1959,13
IT,4,0,2,2,1,1949,8
IT,4,4,1,1,2,1973,88
IT,4,0,2,2,1,2001,14
IT,4,1,1,2,2,1954,8
IT,2,5,1,8,1,1950,9
IT,2,5,7,2,2,1989,14
IT,2,6,3,2,1,2001,13
IT,2,5,1,1,2,1946,8
IT,4,0,2,2,2,1998,11
IT,3,3,3,2,2,2002,14
IT,3,0,3,2,1,1980,10
IT,2,3,1,2,1,1981,18
IT,2,7,2,2,2,2005,10
IT,4,0,1,2,2,1989,13
IT,2,4,1,1,2,1959,8
IT,3,6,3,2,2,1951,77
IT,4,5,3,2,2,2006,8
IT,3,5,1,2,2,1978,13
IT,2,1,1,2,1,1961,13
IT,3,1,1,2,2,1973,18
IT,4,4,1,2,2,1974,13
IT,2,4,1,1,1,1964,13
IT,3,4,3,1,1,1980,15
IT,4,88,2,2,1,1968,14
IT,4,0,2,2,2,1949,11
IT,2,4,1,2,1,1940,19
IT,3,6,1,2,2,1951,88
IT,3,2,7,2,1,1970,12
IT,3,6,1,1,1,1949,11
IT,2,6,1,2,1,1988,15
IT,3,6,1,1,1,1957,8
IT,4,1,1,2,2,1953,5
IT,2,2,1,1,1,1959,8
IT,3,4,8,2,1,1934,8
IT,4,8,3,2,1,2005,10
IT,3,5,7,2,2,1955,12
IT,4,5,3,2,1,2001,14
IT,2,5,1,1,1,1976,13
IT,3,0,1,2,1,1962,13
IT,3,5,1,2,2,1940,10
IT,1,5,1,1,2,1991,14
IT,4,0,1,2,2,1987,13
IT,3,4,1,2,1,1960,8
IT,3,3,2,2,1,1953,8
IT,2,4,1,1,1,1944,8
IT,3,2,1,1,2,1949,5
IT,4,1,1,2,1,1937,5
IT,4,4,2,2,2,1947,8
IT,4,0,1,2,2,1961,13
IT,2,5,7,2,1,1938,12
IT,4,2,2,2,2,1953,8
IT,2,2,1,1,1,1976,18
IT,3,5,1,2,1,1973,16
IT,3,6,2,2,1,1998,13
IT,1,0,2,2,2,1999,16
IT,4,88,3,2,1,1993,8
IT,2,5,1,2,1,1945,8
IT,4,1,1,2,1,1959,8
IT,4,7,2,8,1,1987,12
IT,3,1,1,2,2,1945,13
IT,2,4,1,1,2,1998,16
IT,2,2,1,1,1,1961,19
IT,1,4,1,1,1,1955,16
IT,3,4,1,2,2,1962,18
IT,3,7,1,1,1,1992,19
IT,2,4,1,1,1,1978,11
IT,3,5,1,2,1,1974,16
IT,3,2,2,2,1,1986,5
IT,4,4,7,2,2,1950,16
IT,4,6,1,8,2,1943,6
IT,2,5,1,2,2,1993,17
IT,2,4,1,2,2,1973,10
IT,2,6,1,2,1,1954,11
IT,3,0,2,2,2,1998,13
IT,3,2,1,2,2,1996,14
IT,3,1,1,2,2,1962,20
IT,4,8,2,2,2,1944,6
IT,4,2,3,2,1,1997,12
IT,3,4,2,2,2,1946,88
IT,3,1,1,2,2,1972,14
IT,3,3,1,2,1,2000,10
IT,2,6,1,2,2,1987,13
IT,3,1,1,2,1,1965,13
IT,2,5,1,2,2,1960,15
IT,3,2,1,2,2,1972,13
IT,3,5,1,1,2,1962,12
IT,1,5,1,2,1,1956,15
IT,3,5,1,2,1,1959,8
IT,4,2,2,2,2,1944,9
IT,3,4,1,2,1,1972,10
IT,3,1,1,2,2,1972,11
IT,4,6,1,2,2,1968,13
IT,3,1,1,2,1,1974,8
IT,3,3,1,2,2,1985,17
IT,4,0,2,2,2,1940,8
IT,2,3,1,1,1,1997,19
IT,4,2,1,8,1,1982,8
IT,2,7,1,1,1,1963,18
IT,2,2,1,1,1,1948,18
IT,2,6,1,1,2,1969,19
IT,4,4,2,2,2,1965,12
IT,3,0,1,2,1,1960,17
IT,2,8,1,1,1,1952,13
IT,3,6,1,1,2,1953,8
IT,2,1,1,2,1,1955,13
IT,3,5,1,2,2,1967,8
IT,2,5,1,2,1,1979,19
IT,2,5,1,1,2,1978,13
IT,3,2,2,2,1,2001,13
IT,3,2,1,7,1,1969,8
IT,4,1,1,1,1,1994,13
IT,2,10,1,1,1,1974,13
IT,1,3,1,1,1,1977,17
IT,2,2,1,1,2,1953,14
IT,3,3,1,2,2,1932,5
IT,4,4,2,2,1,1968,9
IT,2,7,1,1,2,1959,14
IT,3,4,1,1,2,1991,17
IT,3,7,1,2,1,1971,11
IT,2,4,1,1,1,1995,18
IT,3,6,2,1,1,1972,15
IT,3,0,1,2,1,1957,15
IT,3,7,1,2,1,1959,11
IT,4,0,2,2,2,1984,13
IT,3,2,1,2,1,1966,13
IT,3,6,2,2,2,1937,2
IT,3,0,1,2,1,1967,14
IT,3,0,1,2,1,1973,22
IT,3,2,1,2,1,1972,13
IT,3,1,1,2,2,1977,13
IT,4,5,2,2,2,1955,88
IT,4,3,7,2,1,1995,14
IT,2,6,1,1,1,1936,14
IT,3,4,1,2,2,2000,14
IT,2,5,1,8,1,1996,13
IT,2,5,1,2,2,2001,13
IT,4,2,2,2,2,1933,6
IT,4,3,1,2,2,1961,12
IT,3,4,1,2,1,1979,14
IT,4,0,1,2,2,1967,8
IT,4,0,2,2,2,1959,8
IT,3,5,1,1,2,1960,13
IT,4,0,2,2,1,1948,5
IT,2,6,1,1,1,1968,14
IT,4,4,1,2,2,1948,8
IT,3,0,2,2,1,1974,14
IT,3,0,1,1,2,1983,24
IT,4,0,2,2,1,1936,5
IT,2,5,1,1,2,1953,9
IT,3,3,1,2,1,1954,11
IT,3,4,1,7,2,1955,5
IT,2,2,2,2,2,1934,12
IT,2,6,2,2,2,1996,16
IT,4,3,3,2,1,1999,8
IT,3,1,1,2,2,1972,11
IT,4,5,1,2,2,1966,11
IT,2,6,1,7,1,1984,13
IT,3,7,1,2,2,1958,4
IT,2,4,1,1,1,1995,17
IT,3,0,8,2,2,1971,10
IT,2,5,1,1,1,1953,8
IT,3,7,2,2,2,1984,16
IT,2,3,1,1,1,1999,11
IT,3,1,7,2,2,1953,8
IT,3,0,1,2,2,1948,12
IT,3,1,1,1,1,1964,13
IT,4,0,1,2,2,1972,13
IT,2,6,2,2,1,1980,18
IT,4,0,2,2,1,1999,16
IT,4,2,2,2,2,1939,3
IT,3,4,1,1,2,1985,13
IT,4,0,1,2,2,1989,13
IT,3,3,2,2,2,1967,11
IT,4,4,1,2,2,1986,13
IT,1,1,1,1,2,1989,19
IT,2,0,1,2,2,1994,13
IT,4,5,1,2,1,1968,8
IT,1,2,1,1,1,1992,21
IT,4,0,1,2,1,1986,13
IT,2,3,1,1,1,1974,20
IT,4,3,2,7,2,1967,10
IT,2,6,1,2,1,1988,17
IT,2,7,1,2,2,1979,24
IT,4,1,2,2,1,1950,13
IT,2,7,1,1,1,1964,17
IT,4,0,1,2,2,1939,5
IT,4,4,1,2,2,1968,11
IT,4,4,2,2,2,1975,9
IT,4,0,1,2,1,1948,5
IT,4,3,2,2,1,2004,17
IT,4,3,8,2,2,1991,8
IT,2,4,1,1,2,1966,8
IT,2,4,1,2,2,1982,18
IT,2,6,1,2,2,1976,19
IT,3,6,3,1,1,2005,13
IT,4,3,2,2,2,1935,6
IT,2,4,1,2,2,1985,16
IT,3,3,2,2,2,1953,8
IT,4,1,1,2,2,1952,8
IT,3,5,1,1,1,1959,18
IT,2,5,1,2,1,1961,13
IT,2,3,1,2,1,1992,19
IT,3,4,1,1,2,1941,5
IT,2,2,1,2,2,1970,13
IT,2,2,1,1,1,1987,13
IT,2,2,1,1,1,1995,15
IT,3,0,1,1,2,1963,14
IT,2,5,1,1,1,1979,18
IT,3,6,2,2,1,1998,11
IT,3,7,1,2,2,1949,5
IT,2,4,1,2,2,1967,13
IT,4,6,1,2,2,1942,7
IT,3,6,2,2,2,7777,13
IT,4,2,2,2,2,1932,9
IT,3,4,2,2,2,1958,5
IT,2,8,1,2,2,1961,20
IT,2,1,1,2,1,1978,15
IT,2,5,2,1,1,1948,17
IT,2,4,1,2,1,1991,14
IT,3,5,1,2,2,1967,10
IT,3,4,1,2,1,1964,13
IT,3,7,2,2,2,1969,25
IT,4,4,1,8,2,1940,9
IT,3,3,1,2,1,1989,13
IT,2,0,2,2,2,1959,15
IT,4,0,7,2,2,1970,8
IT,3,5,7,2,2,1985,18
IT,3,6,2,2,1,1964,14
IT,2,5,1,1,1,1947,12
IT,1,7,1,1,2,1964,10
IT,4,2,3,2,1,1978,6
IT,4,0,1,2,2,1976,13
IT,2,6,1,2,1,1983,13
IT,4,6,3,2,2,1991,11
IT,3,5,1,1,1,1999,13
IT,3,5,1,7,2,1940,8
IT,4,0,1,1,2,1961,13
IT,2,5,1,1,1,1940,10
IT,4,0,1,1,2,1946,13
IT,3,4,1,2,2,1965,13
IT,1,0,1,2,2,1999,16
IT,3,3,1,1,2,1996,17
IT,3,5,2,2,2,1941,77
IT,2,1,1,2,1,1971,17
IT,4,0,3,2,1,2002,11
IT,3,4,2,2,1,1972,88
IT,2,6,1,1,1,1970,19
IT,3,2,1,8,1,1982,8
IT,3,3,3,2,2,1976,18
IT,2,4,1,2,1,1956,13
IT,2,5,1,2,1,1969,13
IT,4,3,2,2,2,1974,15
IT,2,7,1,1,1,1947,11
IT,1,2,1,1,1,1959,16
IT,2,2,1,2,1,1970,10
IT,3,0,2,2,1,1969,17
IT,1,0,1,2,1,1997,19
IT,4,4,2,2,2,1956,8
IT,4,5,8,2,2,1957,8
IT,1,2,1,1,2,1985,18
IT,2,5,1,2,1,1967,18
IT,3,2,1,2,1,1984,19
IT,3,0,1,2,2,1966,12
IT,4,5,1,2,2,1951,5
IT,4,3,2,2,2,1967,10
IT,3,3,1,8,1,1983,13
IT,3,2,2,2,1,1954,22
IT,3,4,2,2,2,1961,13
IT,4,5,2,2,1,2003,12
IT,3,4,1,1,2,1976,13
IT,3,5,1,2,2,1954,13
IT,3,5,2,2,2,1977,13
IT,2,7,1,1,1,1956,8
IT,3,0,1,2,1,1953,12
IT,4,0,1,2,2,1965,13
IT,2,5,1,1,1,1960,12
IT,2,2,2,2,1,1942,77
IT,2,5,3,2,2,2004,12
IT,2,4,1,2,1,1958,18
IT,3,5,3,2,2,2003,12
IT,3,0,1,1,1,1965,5
IT,2,6,1,2,2,1939,13
IT,2,6,1,1,1,1984,20
IT,4,0,1,2,2,7777,18
IT,4,88,7,2,1,1980,6
IT,4,0,1,2,2,1990,15
IT,2,6,1,1,1,1960,10
IT,2,1,2,2,2,1986,20
IT,3,1,2,2,2,1958,8
IT,3,6,1,1,2,1981,18
IT,4,5,1,2,1,1978,8
IT,4,0,2,2,2,1946,5
IT,2,1,1,2,1,1951,8
IT,3,3,1,2,1,1967,8
IT,3,2,1,1,2,1967,8
IT,4,5,1,1,1,1999,15
IT,4,2,1,2,2,1940,9
IT,4,0,3,2,1,1975,5
IT,3,1,1,2,2,1958,13
