"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","polintr","trstplt","trstprt","vote","prtvtefr","clsprty","gndr","yrbrn","eduyrs","emplrel","uemp12m","uemp5yr"
"ESS10e02_2",10,"2.2","21.12.2022",10002,"BG",1.9393836,1.2907065,0.21771649,0.2810081,0.00031375457,185,2429,4,3,3,2,,2,2,1945,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10006,"BG",1.6515952,1.4308782,0.21771649,0.31152576,0.0003684259,186,2387,1,6,7,1,,1,1,1978,16,3,2,2
"ESS10e02_2",10,"2.2","21.12.2022",10009,"BG",0.31502464,0.11317217,0.21771649,0.024639448,0.0019315645,175,2256,3,3,2,1,,1,2,1971,16,3,1,1
"ESS10e02_2",10,"2.2","21.12.2022",10024,"BG",0.67303663,1.4363747,0.21771649,0.31272244,0.0009040971,148,2105,4,0,0,2,,2,2,1970,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10027,"BG",0.39499906,0.5848892,0.21771649,0.12734002,0.0015404859,138,2065,1,0,0,1,,1,1,1951,17,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10048,"BG",0.8889412,0.6274565,0.21771649,0.13660762,0.00068451144,182,2377,1,0,0,2,,2,2,1990,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10053,"BG",0.9524328,1.8161987,0.21771649,0.3954164,0.00063888024,157,2169,3,5,3,2,,2,1,1981,12,1,1,1
"ESS10e02_2",10,"2.2","21.12.2022",10055,"BG",0.48506832,0.27850613,0.21771649,0.060635377,0.0012544428,168,2219,3,1,1,2,,1,1,1973,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10059,"BG",0.1861498,0.2597842,0.21771649,0.056559302,0.0032688214,156,2155,3,2,2,1,,2,1,1950,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10061,"BG",0.98539597,2.5277464,0.21771649,0.55033207,0.00061750854,135,2053,3,0,0,1,,1,1,1950,3,2,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10064,"BG",0.47024524,0.31295946,0.21771649,0.06813643,0.0012939854,162,2200,1,5,7,1,,1,2,1950,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10068,"BG",0.97013664,0.44409433,0.21771649,0.096686654,0.0006272214,168,2222,4,4,4,2,,2,2,1949,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10071,"BG",0.43741336,0.21898833,0.21771649,0.047677368,0.0013911108,122,2477,2,7,2,1,,1,1,1969,15,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10077,"BG",0.4653745,0.498313,0.21771649,0.10849096,0.0013075286,156,2141,2,5,6,2,,1,2,1936,15,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10078,"BG",1.860561,1.9922487,0.21771649,0.43374538,0.00032704676,136,2057,3,2,2,2,,2,2,1938,19,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10079,"BG",0.94507396,0.41685954,0.21771649,0.09075719,0.00064385484,175,2321,3,2,1,2,,2,2,1969,11,1,2,2
"ESS10e02_2",10,"2.2","21.12.2022",10081,"BG",0.9696918,0.8094444,0.21771649,0.17622939,0.00062750914,185,2436,2,2,3,1,,1,1,1974,12,3,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10088,"BG",0.19393836,0.10562681,0.21771649,0.022996698,0.0031375457,185,2436,2,2,1,1,,1,1,1975,16,2,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10090,"BG",0.9696918,0.8332934,0.21771649,0.1814217,0.00062750914,185,2445,4,0,0,1,,1,1,1987,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10093,"BG",0.97013664,0.7202232,0.21771649,0.15680446,0.0006272214,168,2221,2,3,3,1,,1,2,1950,7,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10104,"BG",1.6863705,1.2939718,0.21771649,0.281719,0.00036082845,127,2020,3,0,3,2,,2,1,1968,12,1,2,2
"ESS10e02_2",10,"2.2","21.12.2022",10107,"BG",1.7617755,3.9999998,0.21771649,0.8708659,0.0003453848,147,2094,3,3,3,2,,2,1,1989,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10112,"BG",1.880981,2.030206,0.21771649,0.4420093,0.00032349635,162,2198,3,0,0,1,,1,2,1961,8,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10130,"BG",0.93091434,0.4363486,0.21771649,0.09500028,0.00065364817,129,2030,2,2,3,1,,1,2,1962,15,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10133,"BG",0.31502464,0.14045091,0.21771649,0.030578477,0.0019315645,175,2256,2,3,3,1,,1,1,1950,16,1,2,1
"ESS10e02_2",10,"2.2","21.12.2022",10134,"BG",1.9101657,2.2791004,0.21771649,0.49619773,0.00031855376,130,2438,4,2,2,1,,2,2,1982,20,1,2,1
"ESS10e02_2",10,"2.2","21.12.2022",10136,"BG",0.88088775,1.9510483,0.21771649,0.42477536,0.0006907696,147,2091,4,0,4,1,,1,2,1943,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10141,"BG",0.94507396,0.41685954,0.21771649,0.09075719,0.00064385484,175,2289,3,0,0,1,,1,2,1972,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10145,"BG",3.8097312,3.9999998,0.21771649,0.8708659,0.00015972006,157,2162,4,0,0,2,,2,1,1992,17,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10146,"BG",0.9948167,0.4286329,0.21771649,0.093320444,0.0006116609,121,2474,2,7,6,1,,1,2,1954,16,1,2,2
"ESS10e02_2",10,"2.2","21.12.2022",10149,"BG",0.31349683,0.20863971,0.21771649,0.045424305,0.0019409781,162,2199,2,4,4,1,,2,2,1966,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10156,"BG",0.94507396,0.30469707,0.21771649,0.06633757,0.00064385484,175,2244,3,4,2,2,,1,2,1936,17,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10169,"BG",0.16869637,0.2068394,0.21771649,0.045032345,0.0036070156,133,2044,3,1,1,2,,2,1,1957,8,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10176,"BG",1.7617755,4,0.21771649,0.87086594,0.0003453848,147,2095,4,1,1,3,,2,2,2004,9,6,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10180,"BG",0.454086,1.5507925,0.21771649,0.33763307,0.0013400335,146,2089,4,0,0,2,,2,2,1997,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10182,"BG",0.9906732,1.0607921,0.21771649,0.23095192,0.00061421917,137,2062,2,1,1,1,,2,2,1952,17,1,2,2
"ESS10e02_2",10,"2.2","21.12.2022",10183,"BG",0.4762164,0.50992227,0.21771649,0.11101848,0.0012777605,157,2165,2,0,0,1,,2,2,1956,17,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10187,"BG",0.47253698,0.17702101,0.21771649,0.038540393,0.0012877097,175,2256,3,3,1,1,,1,1,1977,16,3,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10203,"BG",2.1563888,0.98711896,0.21771649,0.21491207,0.00028218032,194,2422,3,8,5,1,,1,2,1954,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10206,"BG",0.31502464,0.22235918,0.21771649,0.048411258,0.0019315646,175,2267,4,2,2,2,,2,2,2000,13,3,2,1
"ESS10e02_2",10,"2.2","21.12.2022",10212,"BG",1.7948947,1.0609183,0.21771649,0.23097941,0.00033901178,179,2354,4,0,0,2,,2,1,2002,13,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10213,"BG",0.95508283,1.9128782,0.21771649,0.4164651,0.0006371075,130,2038,3,0,0,1,,2,2,1991,16,2,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10215,"BG",1.3456463,0.80177236,0.21771649,0.17455906,0.000452192,120,2462,2,3,3,1,,1,1,1955,18,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10220,"BG",1.4545376,1.2752506,0.21771649,0.27764305,0.00041833942,185,2433,2,5,0,1,,1,2,1990,16,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10223,"BG",0.598065,0.35634342,0.21771649,0.07758184,0.001017432,120,2466,2,4,3,1,,2,1,1953,17,1,2,2
"ESS10e02_2",10,"2.2","21.12.2022",10225,"BG",0.89209265,0.9628653,0.21771649,0.20963165,0.0006820933,196,2458,2,2,2,1,,1,2,1942,7,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10245,"BG",1.9478456,0.62799627,0.21771649,0.13672514,0.00031239152,180,2361,2,3,88,1,,1,2,1955,14,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10249,"BG",1.7347455,0.9741564,0.21771649,0.2120899,0.00035076644,154,2126,2,0,0,1,,1,1,1949,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10263,"BG",0.44447058,0.20346297,0.21771649,0.044297244,0.001369023,182,2378,2,4,3,1,,1,2,1937,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10265,"BG",1.4286492,2.804566,0.21771649,0.61060023,0.00042592015,157,2162,4,0,0,2,,2,1,2002,12,6,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10271,"BG",0.23268725,0.34454823,0.21771649,0.07501383,0.0026150572,156,2156,3,1,1,2,,2,1,1953,24,3,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10273,"BG",0.46924755,0.23492603,0.21771649,0.051147267,0.0012967365,143,2078,3,2,3,2,,2,1,1977,18,1,2,2
"ESS10e02_2",10,"2.2","21.12.2022",10279,"BG",0.29631373,0.13564202,0.21771649,0.029531503,0.0020535346,182,2378,2,5,7,1,,1,2,1946,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10280,"BG",0.9061184,2.2341697,0.21771649,0.48641557,0.00067153526,141,2116,2,5,5,2,,1,2,1950,7,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10283,"BG",1.4176109,0.76617646,0.21771649,0.16680925,0.00042923656,175,2326,3,0,5,1,,1,1,2001,6,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10288,"BG",2.792247,3.474083,0.21771649,0.7563651,0.00021792144,156,2143,3,2,3,1,,2,1,1974,17,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10295,"BG",0.30203944,0.7447233,0.21771649,0.16213854,0.002014606,141,2127,3,1,3,1,,2,2,1960,8,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10297,"BG",1.417611,0.5310633,0.21771649,0.11562124,0.00042923656,175,2244,3,2,2,1,,1,1,1970,19,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10304,"BG",0.48057437,0.7496668,0.21771649,0.16321482,0.0012661734,189,2402,2,5,5,1,,1,2,1943,14,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10312,"BG",0.24341139,0.525081,0.21771649,0.11431878,0.0024998437,187,2390,2,5,3,1,,2,1,1966,16,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10313,"BG",1.417611,0.6489324,0.21771649,0.14128327,0.00042923656,175,2295,3,5,5,1,,1,2,1963,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10314,"BG",0.96334183,0.9826845,0.21771649,0.21394661,0.00063164544,131,2035,4,0,0,1,,1,2,1969,11,1,1,1
"ESS10e02_2",10,"2.2","21.12.2022",10318,"BG",4.0255175,2.9029698,0.21771649,0.6320244,0.00012550183,185,2436,2,2,3,1,,1,1,2003,11,6,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10322,"BG",0.6730855,0.3978443,0.21771649,0.08661727,0.0009040314,179,2349,3,0,0,2,,2,1,1992,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10329,"BG",0.96334183,1.1811572,0.21771649,0.2571574,0.00063164544,131,2034,2,1,0,1,,1,1,1944,7,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10333,"BG",1.0078124,2.9445746,0.21771649,0.6410824,0.0006037736,192,2414,3,2,2,2,,2,1,1977,8,1,1,1
"ESS10e02_2",10,"2.2","21.12.2022",10340,"BG",0.31502464,0.18620332,0.21771649,0.040539533,0.0019315645,175,2319,4,0,0,2,,2,1,2000,12,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10368,"BG",0.9741464,0.72633445,0.21771649,0.15813498,0.0006246396,152,2249,2,4,4,1,,1,2,1966,19,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10369,"BG",0.9226444,1.2876103,0.21771649,0.280334,0.00065950706,158,2183,2,6,5,1,,1,1,1966,11,1,2,2
