gndr,yrbrn,cntry,feethngr,rlgatnd,mbtru,hinctnta,edulvlb,cntbrthd,gincdif,fairelc,dfprtal,gptpelc,medcrgv,rghmgpr,cttresa,gvctzpv,grdfinc,viepol,wpestop,votedir,lnghom1,brncntr,mbrncntc,fbrncntc,freehms,hmsacld,lrnobed,loylead,imdfetn,accalaw,dweight...32,rlgdnm,imueclt,region,lrscale,dweight...37,dweight
2,2006,BE,2,3,3,NA,113,6666,2,7,8,8,7,10,10,10,10,9,7,7,ENG,1,NG,NG,2,1,2,2,2,5,0.8822202682495117,4,8,BE24,3,0.8822202682495117,0.8822202682495117
2,1998,BE,1,7,3,NA,720,SA,3,7,6,6,9,5,8,7,6,7,8,7,DUT,2,6666,6666,1,3,1,NA,1,5,1.047642469406128,NA,5,BE24,5,1.047642469406128,1.047642469406128
1,1964,BE,1,7,2,7,610,FR,3,10,10,10,10,10,10,10,5,5,5,0,FRE,2,FR,FR,2,2,2,3,2,0,1.0877412557601929,NA,5,BE33,5,1.0877412557601929,1.0877412557601929
1,1987,BE,1,7,3,7,323,IQ,NA,10,10,10,10,10,10,10,NA,NA,NA,10,ARA,2,IQ,IQ,3,3,3,NA,1,NA,0.909909963607788,6,8,BE21,5,0.909909963607788,0.909909963607788
1,1961,BE,1,7,1,6,800,NL,2,10,10,9,10,10,10,9,9,3,3,5,DUT,2,NL,NL,1,1,3,4,2,1,0.9189488887786864,NA,7,BE24,4,0.9189488887786864,0.9189488887786864
2,1976,BE,1,7,1,6,510,6666,3,6,6,6,6,6,5,7,7,7,5,6,DUT,1,6666,6666,2,2,2,3,2,2,0.9137402176856996,NA,6,BE23,5,0.9137402176856996,0.9137402176856996
2,1951,BE,1,7,3,9,321,6666,2,2,2,7,5,5,6,9,9,8,7,5,FRE,1,6666,6666,1,2,1,NA,4,0,1.0793685913085938,NA,NA,BE32,NA,1.0793685913085938,1.0793685913085938
1,1968,BE,1,6,3,9,710,6666,2,9,7,9,6,9,9,9,9,9,9,9,DUT,1,6666,6666,2,3,1,2,2,4,0.898874819278717,1,4,BE25,6,0.898874819278717,0.898874819278717
1,2000,BE,1,7,3,5,313,6666,2,10,8,8,9,8,10,8,8,7,7,10,FRE,1,6666,6666,1,1,2,3,2,0,1.0877412557601929,NA,10,BE33,6,1.0877412557601929,1.0877412557601929
1,1939,BE,1,7,2,5,323,6666,2,8,8,7,9,8,5,9,8,9,5,8,FRE,1,6666,6666,1,3,1,1,2,6,1.0793685913085938,1,5,BE32,2,1.0793685913085938,1.0793685913085938
